case_id,instance,profile,capital_cost_treatment,featured
C01,instance_20260101,commercial,retain,False
C02,instance_20260102,commercial,retain,False
C03,instance_20260103,commercial,retain,False
C04,instance_20260104,commercial,retain,False
C05,instance_20260105,commercial,retain,False
C06,instance_20260106,commercial,retain,False
C07,instance_20260107,commercial,retain,False
C08,instance_20260108,commercial,retain,False
C09,instance_20260109,commercial,retain,False
C10,instance_20260110,commercial,retain,False
E01,instance_20260101,emergency,set_to_zero,False
E02,instance_20260102,emergency,set_to_zero,False
E03,instance_20260103,emergency,set_to_zero,True
E04,instance_20260104,emergency,set_to_zero,False
E05,instance_20260105,emergency,set_to_zero,False
E06,instance_20260106,emergency,set_to_zero,False
E07,instance_20260107,emergency,set_to_zero,False
E08,instance_20260108,emergency,set_to_zero,False
E09,instance_20260109,emergency,set_to_zero,False
E10,instance_20260110,emergency,set_to_zero,False
