profile,instance,mean_reduction_pct,std_reduction_pct,min_reduction_pct,max_reduction_pct,wins,seeds,s_alns_better_on_mean,featured
commercial,instance_20260101,10.077004,0.206619,9.756388,10.244403,5,5,True,False
commercial,instance_20260102,13.152770,0.932956,12.408902,14.171042,5,5,True,False
commercial,instance_20260103,16.483402,0.212163,16.188182,16.775723,5,5,True,False
commercial,instance_20260104,10.081734,1.253982,9.040486,11.549639,5,5,True,False
commercial,instance_20260105,9.473373,2.740881,5.084216,12.552270,5,5,True,False
commercial,instance_20260106,19.184536,0.604942,18.499723,19.830786,5,5,True,False
commercial,instance_20260107,21.836325,0.920068,20.804076,23.330441,5,5,True,False
commercial,instance_20260108,12.940603,4.716689,9.474994,18.371781,5,5,True,False
commercial,instance_20260109,23.762821,1.401191,23.006611,26.232281,5,5,True,False
commercial,instance_20260110,0.663744,0.341137,0.383114,1.047176,5,5,True,False
emergency,instance_20260101,19.832922,6.876374,8.202040,24.906217,5,5,True,False
emergency,instance_20260102,11.308542,2.001012,8.999017,13.630013,5,5,True,False
emergency,instance_20260103,25.052416,2.792373,20.154999,26.944859,5,5,True,True
emergency,instance_20260104,21.370549,7.462709,12.772020,30.396909,5,5,True,False
emergency,instance_20260105,17.072827,4.685618,14.134001,25.336568,5,5,True,False
emergency,instance_20260106,16.378303,5.698485,7.531654,23.185294,5,5,True,False
emergency,instance_20260107,24.365064,4.331376,20.116769,30.290144,5,5,True,False
emergency,instance_20260108,21.205341,1.567357,20.121745,23.916665,5,5,True,False
emergency,instance_20260109,22.487987,2.011384,20.087299,24.589993,5,5,True,False
emergency,instance_20260110,-4.391665,3.000876,-7.255769,0.076344,1,5,False,False
