profile,instance,seed,baseline_objective,s_alns_objective,delta,delta_pct,s_alns_better
commercial,instance_20260101,7,3492.818133,3136.705732,-356.1124010000003,-10.19556093217294,True
commercial,instance_20260101,42,3475.820228,3136.705732,-339.11449600000014,-9.756387665513067,True
commercial,instance_20260101,99,3484.527041,3136.705732,-347.8213089999999,-9.981880034433054,True
commercial,instance_20260101,123,3493.254862,3136.705732,-356.5491299999999,-10.20678834168613,True
commercial,instance_20260101,2024,3494.718816,3136.705732,-358.01308400000016,-10.244403136552664,True
commercial,instance_20260102,7,2759.028514,2416.663365,-342.3651490000002,-12.408902164756686,True
commercial,instance_20260102,42,2815.673653,2416.663365,-399.01028799999995,-14.17104171766741,True
commercial,instance_20260102,99,2759.028514,2411.281624,-347.7468899999999,-12.60396143916039,True
commercial,instance_20260102,123,2815.673653,2416.663365,-399.01028799999995,-14.17104171766741,True
commercial,instance_20260102,2024,2759.028514,2416.663365,-342.3651490000002,-12.408902164756686,True
commercial,instance_20260103,7,4564.095569,3810.125702,-753.9698670000002,-16.51958982018416,True
commercial,instance_20260103,42,4545.621759,3783.060835,-762.5609239999994,-16.77572319980615,True
commercial,instance_20260103,99,4545.621759,3809.768252,-735.8535069999998,-16.18818163968578,True
commercial,instance_20260103,123,4564.095569,3810.125702,-753.9698670000002,-16.51958982018416,True
commercial,instance_20260103,2024,4558.325801,3810.125702,-748.2000990000001,-16.413923261822596,True
commercial,instance_20260104,7,3927.402129,3572.345876,-355.0562530000002,-9.040486340277182,True
commercial,instance_20260104,42,4029.78175,3572.345876,-457.43587400000024,-11.35138085331793,True
commercial,instance_20260104,99,4029.78175,3564.356506,-465.425244,-11.549638984791175,True
commercial,instance_20260104,123,3927.402129,3565.168019,-362.2341099999999,-9.22324982525363,True
commercial,instance_20260104,2024,3927.402129,3564.356506,-363.045623,-9.24391266988591,True
commercial,instance_20260105,7,3556.93914,3182.86925,-374.06988999999976,-10.516623289764798,True
commercial,instance_20260105,42,3532.911536,3182.86925,-350.0422859999999,-9.908039939101375,True
commercial,instance_20260105,99,3509.448642,3182.86925,-326.57939199999964,-9.305717943599406,True
commercial,instance_20260105,123,3350.633778,3180.28032,-170.35345800000005,-5.084215980825107,True
commercial,instance_20260105,2024,3587.11677,3136.852188,-450.26458200000025,-12.552269994823732,True
commercial,instance_20260106,7,3936.042935,3155.494683,-780.548252,-19.830786017581897,True
commercial,instance_20260106,42,3936.042935,3169.62071,-766.4222249999998,-19.47189697004664,True
commercial,instance_20260106,99,3889.091948,3169.62071,-719.4712379999996,-18.499723010405916,True
commercial,instance_20260106,123,3892.86136,3169.62071,-723.2406499999997,-18.578638772792047,True
commercial,instance_20260106,2024,3939.45465,3169.62071,-769.83394,-19.541637317743966,True
commercial,instance_20260107,7,3648.912694,2854.535278,-794.3774160000003,-21.77025000642562,True
commercial,instance_20260107,42,3604.396724,2854.535278,-749.8614460000003,-20.80407633840698,True
commercial,instance_20260107,99,3713.695752,2847.274172,-866.4215800000002,-23.330440560010643,True
commercial,instance_20260107,123,3640.092782,2854.341574,-785.7512080000001,-21.58602143015376,True
commercial,instance_20260107,2024,3644.964896,2854.341574,-790.6233219999999,-21.690835016480772,True
commercial,instance_20260108,7,3568.107371,3230.029421,-338.0779499999999,-9.474993738914586,True
commercial,instance_20260108,42,3570.930801,3230.029421,-340.9013799999998,-9.546569199955767,True
commercial,instance_20260108,99,3957.000965,3230.029421,-726.971544,-18.371780811531846,True
commercial,instance_20260108,123,3568.110693,3230.029421,-338.0812719999999,-9.475078019951997,True
commercial,instance_20260108,2024,3883.412819,3190.821929,-692.59089,-17.834593494964714,True
commercial,instance_20260109,7,3474.306343,2674.9862,-799.3201430000004,-23.00661093430817,True
commercial,instance_20260109,42,3474.306343,2655.715056,-818.5912870000002,-23.56128695010704,True
commercial,instance_20260109,99,3474.306343,2562.916525,-911.3898180000001,-26.232281440474,True
commercial,instance_20260109,123,3474.338141,2674.9862,-799.3519410000004,-23.00731559680392,True
commercial,instance_20260109,2024,3474.306343,2674.9862,-799.3201430000004,-23.00661093430817,True
commercial,instance_20260110,7,4184.012368,4141.249076,-42.76329199999964,-1.0220641871678053,True
commercial,instance_20260110,42,4185.074183,4141.249076,-43.82510699999966,-1.0471763482238772,True
commercial,instance_20260110,99,4157.1758,4141.249076,-15.926723999999922,-0.3831140362166046,True
commercial,instance_20260110,123,4157.1758,4137.086236,-20.089563999999882,-0.4832502873705722,True
commercial,instance_20260110,2024,4157.1758,4141.249076,-15.926723999999922,-0.3831140362166046,True
emergency,instance_20260101,7,2721.185476,2128.92489,-592.2605860000003,-21.76480034983107,True
emergency,instance_20260101,42,2487.052524,2283.063483,-203.98904100000027,-8.202039926037376,True
emergency,instance_20260101,99,2685.539263,2020.539989,-664.999274,-24.76222497142467,True
emergency,instance_20260101,123,2720.839789,2189.478073,-531.3617159999999,-19.529327604963214,True
emergency,instance_20260101,2024,2786.580917,2092.54902,-694.0318970000003,-24.906217248741758,True
emergency,instance_20260102,7,2035.784958,1758.307196,-277.477762,-13.630013371972268,True
emergency,instance_20260102,42,1982.367124,1736.932074,-245.43505000000005,-12.38090800783478,True
emergency,instance_20260102,99,2013.158188,1831.993742,-181.164446,-8.999016921764122,True
emergency,instance_20260102,123,1969.945036,1731.588494,-238.356542,-12.099654439292689,True
emergency,instance_20260102,2024,1942.244705,1759.030523,-183.21418200000016,-9.43311527781975,True
emergency,instance_20260103,7,3243.201987,2589.53466,-653.6673270000001,-20.154998967691498,True
emergency,instance_20260103,42,3231.769557,2398.532472,-833.2370850000002,-25.782688719101646,True
emergency,instance_20260103,99,3264.112925,2425.617305,-838.4956199999997,-25.68831530238801,True
emergency,instance_20260103,123,3315.622195,2430.642163,-884.9800319999999,-26.691220529726245,True
emergency,instance_20260103,2024,3317.906969,2423.901627,-894.0053419999999,-26.944858621803025,True
emergency,instance_20260104,7,2856.315894,1988.08414,-868.2317539999999,-30.396909383300866,True
emergency,instance_20260104,42,2703.137318,1955.445324,-747.691994,-27.660155813068464,True
emergency,instance_20260104,99,2718.66856,2371.439657,-347.2289030000002,-12.772020396631214,True
emergency,instance_20260104,123,2754.013009,2302.529998,-451.4830109999998,-16.393641189223587,True
emergency,instance_20260104,2024,2848.01786,2288.951485,-559.0663749999999,-19.63001647047255,True
emergency,instance_20260105,7,2500.55041,2147.122601,-353.4278089999998,-14.134000561900285,True
emergency,instance_20260105,42,2526.959882,2139.126186,-387.83369600000015,-15.34783748497991,True
emergency,instance_20260105,99,2491.196597,2131.848128,-359.348469,-14.424733456714819,True
emergency,instance_20260105,123,2444.817821,1825.3849,-619.4329210000001,-25.336567644399548,True
emergency,instance_20260105,2024,2487.052553,2086.1149,-400.93765299999995,-16.120996418687255,True
emergency,instance_20260106,7,2311.908069,1775.885389,-536.02268,-23.18529387856901,True
emergency,instance_20260106,42,2415.746557,2039.674233,-376.072324,-15.567540514971332,True
emergency,instance_20260106,99,2394.933022,1955.733902,-439.1991200000002,-18.33868070486692,True
emergency,instance_20260106,123,2412.230638,1995.678277,-416.552361,-17.26834716540069,True
emergency,instance_20260106,2024,2313.712887,2139.452028,-174.26085899999998,-7.53165442346434,True
emergency,instance_20260107,7,2700.112478,2048.068831,-652.043647,-24.148758702192108,True
emergency,instance_20260107,42,2663.015095,1947.787241,-715.2278540000002,-26.857821998188868,True
emergency,instance_20260107,99,2730.41128,2181.140751,-549.2705289999999,-20.116768965296682,True
emergency,instance_20260107,123,2730.033551,1903.102462,-826.9310889999999,-30.290143822485202,True
emergency,instance_20260107,2024,2670.326107,2125.263716,-545.0623909999999,-20.411828711525978,True
emergency,instance_20260108,7,2889.909676,2289.475105,-600.4345710000002,-20.776932095368373,True
emergency,instance_20260108,42,2973.541267,2375.212867,-598.3283999999999,-20.121745295421853,True
emergency,instance_20260108,99,2885.722152,2195.553641,-690.1685109999999,-23.916665383798872,True
emergency,instance_20260108,123,2888.980852,2306.578405,-582.4024469999999,-20.159442960544755,True
emergency,instance_20260108,2024,2891.804282,2283.023984,-608.7802980000001,-21.05191910079619,True
emergency,instance_20260109,7,2671.804214,2015.347029,-656.4571849999998,-24.56980872925593,True
emergency,instance_20260109,42,2677.797001,2094.22945,-583.5675510000001,-21.792822636744752,True
emergency,instance_20260109,99,2664.906563,2094.616302,-570.2902610000001,-21.40000962577839,True
emergency,instance_20260109,123,2665.248761,2009.864271,-655.3844899999999,-24.589993234031184,True
emergency,instance_20260109,2024,2664.906563,2129.598805,-535.3077579999999,-20.087299323447233,True
emergency,instance_20260110,7,2997.821138,3215.336109,217.51497100000006,7.2557688063109556,False
emergency,instance_20260110,42,2942.935706,3054.395511,111.45980499999996,3.7873679935568374,False
emergency,instance_20260110,99,2996.976933,3209.313936,212.3370030000001,7.085039616486101,False
emergency,instance_20260110,123,2948.133744,2945.88302,-2.250723999999991,-0.0763440262702,True
emergency,instance_20260110,2024,3029.323799,3147.664129,118.34033,3.9064932589598027,False
